地址,电话,传真,公司网址,主营产品,企业名称,数据来源
河北省衡水市安平县红旗东街233号,86-0318-7527088,86-0318-7532959,http://www.hbjida.com,"不锈钢丝网,丝网制品,金刚网,铜丝网,铁络铝网",安平县冀达五金网业有限公司,http://hbjida.alu.cn/supply.html
上海市闵行区曲吴路600号,86-021-60549916,86-021-51593633,www.tianchuang021.com,,上海安双建材有限公司,http://tianchuangas.alu.cn/supply.html
天津外环线宜兴埠工业区东马道168号,86-022-58268600,86-022-86375716,http://www.tongqiangu-001.cn/lvcai.asp,,天津市通千古铝合金有限公司,http://tqg2012.alu.cn/supply.html
北京市东城区东四十条甲22号南新仓国际大厦A1008,86-010-51690025,86-010-51690025,http://www.cpuc.net,"仪器仪表,石油化工机械,原油含水在线分析仪,油水界面仪,油水分析仪,油水液位仪,含税分析仪",北京中油联自动化技术开发有限公司,http://cpucfss.alu.cn/supply.html
上海市普陀区绥德路科技创业工业园区30号,86-021-52704872-,86-021-66082275-,,"电火花堆焊修复机,金属缺陷修补机,铸造缺陷修补机,取断丝锥机,工模具修补机,不锈钢缺陷修补冷焊机,铝合金缺陷修补冷焊机,铸钢缺陷焊补机",上海源吉机械有限公司,http://luck2046.alu.cn/supply.html
福建省厦门市火炬高新区火炬北路17号宇电科技大厦(11路公交总站火炬园站旁),86-0760-88620700,86-0760-88620700,yudian.com,"智能温控器,流量积算仪,PID调节器,报警仪,精密测温仪,闪光报警器,可控硅触发器,固态继电器",厦门宇电自动化科技有限公司,http://linhuidong.alu.cn/supply.html
湖南省长沙市天心区芙蓉南路金房集团综合楼1223,86-0731-88336550,86-0731-89788056,www.sukovay.com,"铝钎剂,氟铝酸钾",长沙苏克威化工产品有限责任公司,http://sukovay.alu.cn/supply.html
长沙市岳麓大道（市政府对面）,86-0731-84523136,86-0731-84125965,www.hsauto.net,"输送机,流水线,带式输送机 ,流水线,板链输送机,网带输送机, 螺旋输送机,刮板输送机",长沙辉仕机电设备厂,http://tunsun888.alu.cn/supply.html
山西柳林县西王家沟乡新民村,86-0358-4099010,,http://www.sxsenze.cn,,山西森泽煤铝有限责任公司,http://senze2688.alu.cn/supply.html
河北省固安县林城开发区,86-0316-6122207-,86-0316-6238067-,http;//www.jiamanlvye.com,,固安县嘉曼滤清器厂,http://jmlvye.alu.cn/supply.html
济南市槐荫区吴家堡镇中赵村东,86-0531-85860723,86-0531-85860713,www.jnhxtest.com,,济南恒旭试验机技术有限公司,http://wlg1984.alu.cn/supply.html
浙江省杭州市西湖区丰潭路171号,86-0571-88944778,86-0571-88944778,http://www.nonoise.com.cn,,杭州汉克斯隔音技术工程有限公司,http://hzhanex.alu.cn/supply.html
衡水市阜城县码头开发区,86-0318-4869987-,86-0318-4861999-,http://www.syjtgs.com,,衡水胜勇重型机床制造有限公司,http://sylcjx.alu.cn/supply.html
南京江宁开发区利源南路55号牛首工业园18幢,86-025-84188188-838,86-025-84188199-,www.mc-ly.com,"工业铝型材,铝型材,配件,开模设计,框架铝型材,流水线制作,产品精加工",南京美诚铝业有限公司,http://njmcly.alu.cn/supply.html
南京市江宁开发区利源南路55号牛首工业园18幢,86-025-84188188-,86-025-84188199-,mc@mc-ly.com,"铝型材及配件,挤压型材,开模型材",南京美诚铝业,http://mcly.alu.cn/supply.html
东莞市东城区温塘砖窑工业区四横路116号,86-0769-22253115-808,86-0769-22251032-,http://www.dgyintong.cn,"油压机,液压机,热压机,硫化机,冷挤压成型机",东莞市银通机械科技有限公司,http://dgyintong.alu.cn/supply.html
江阴市徐霞客镇璜塘工业园区凤鸣路1号,86-0510-86531585-,86---,http://www.jianbobaowen.com,,江阴市健博保温材料有限公司,http://jianbobaowen.alu.cn/supply.html
深圳市龙岗区宝龙工业城翠龙路6号,86-0755-36984602-,86-0755-28219342-,http://www.xqsmjg.com,"电渣H13,W6Mo5Cre4V2,DC53,SKD11,CR12MOV,3Cr2W8V,9CrWMn,NAK80",深圳市鑫全胜模具钢经营部,http://xqsmjgx2011.alu.cn/supply.html
龙港镇仪邦集团工业园A15幢3号,86-0577-59868885,,www.wzfengda.cn.alibaba.com,,温州红友铝箔包装材料公司,http://zsc198629123.alu.cn/supply.html
浙江省富阳市东洲工业园区十二号路7号,86-0571-61712555,86-0571-63162589,http://fyride.jdol.com.cn/,"变压吸附制氮机,制氧机",浙江瑞德气体设备有限公司,http://fyride.alu.cn/supply.html
经济开发区青岛路8号,86-0411-39647620-,86-0411-39647620-,http://www.dl-hyad.com,"搅拌机,搅拌器,液体搅拌机,立式搅拌机,液体搅拌器,立式搅拌器,可移动式搅拌机,可移动式搅拌器",大连佐竹化工机械有限公司,http://dlzuozhu.alu.cn/supply.html
天津市滨海民营经济成长示范基地创意中心A座8140室,86-022-89858008-,86-022-89858008-,www.tjjf.com,"铝锭,电解铝,氧化铝,铝合金,镍,锌,钴,铜",天津锦帆贸易有限公司,http://tjjfmy.alu.cn/supply.html
山东省乐陵市新科路北首,86-0534-2119940-,86-0534-2119909-,http://www.boyuantech.com,"翅片管,翅片热管,热管换热器,搪瓷翅片管,不锈钢翅片管",山东博源热能科技有限公司,http://sdbyrnkjyxgs.alu.cn/supply.html
安徽省铜陵市狮子山经济开发区栖凤路1771号,86-562-2828608-,86-562-2828708-,http://www.anhuisafe.com,"空调电容器,洗衣机电容器,电风扇电容器,电动机启动电容器,薄膜电容器,自愈式电容器,防爆电容器,特种电容器",安徽赛福电子有限公司,http://anhuisaifu.alu.cn/supply.html
佛山市南海区盐步镇时代广场305号,86-0757-88567252-,86-0757-8856123-,http://www.foshantaiyang.com/,"防锈油,防锈剂,防锈水,防锈液,封闭剂,水溶性防锈油,电镀防锈剂,酸洗防锈液",佛山市南海区太洋电镀防腐原料有限公司,http://foshantaiyang.alu.cn/supply.html
苏州市相城经济开发区澄虹路888号,86-0512-67520369-,86-0512-67520896-,http://www.cnruimei.com,"印刷,不干胶标签,各种耐高温胶带",苏州市瑞美包装制品有限公司,http://cnruimei.alu.cn/supply.html
深圳市龙岗区坂田街道,86-0755-28734764-|86-0755-36522852-,86---,http://www.bestb2b.com/business_7390029.htm,硬铝+防锈铝+锻铝+铸造铝+超硬铝+铝锭+特殊铝+铝合金,深圳市鑫泰华金属材料商行,http://szxth188.alu.cn/supply.html
杭州市经济开发区航海路880号,86-0571-86492971-,86-0571-86493362-,www.nihangjs.com,"铝板,铝棒,不锈钢,模具钢,高速钢,铜,铝合金,等",杭州尼航金属材料有限公司,http://nihangjs.alu.cn/supply.html
中国-上海市宝山区顾村富联路985号,86-021-56188579-,86-021-51687229-,Http://www.yanbao-china.com,"铝锌锭浇机,自动叠锭机,回转炉,冷灰桶,除尘设备,熔铝炉,进料机,原料分选清洗",上海研宝自动化设备有限公司,http://budw6688.alu.cn/supply.html
郑州市中原区须水镇马庄村,86-0371-67854111-,86-0371-67854366-,www.zzyhgroup.com,"白刚玉,棕刚玉,碳化硅",郑州市宇航磨料磨具有限公司,http://zzyhmlmj.alu.cn/supply.html
山东省济南市天桥区嘉汇环球广场C区1119室,86-0531-68818266-,86-0531-68818277-,http://www.alpowder.com/index.asp,"漂浮型铝银浆,非浮型铝银浆,细白系列铝银浆,仿电镀系列铝银浆,金属高闪烁系列铝银浆,喷雾铝粉,烟花铝粉,涂料铝粉",济南金思帝颜料科技有限公司,http://gaorui20110830.alu.cn/supply.html
河南省沁阳市西向镇北,86-0391-5092002-,86-0391-5092020-,,"铝合金,变型铝合金,铝铸件,铸钢,氧化铝,化学品氧化铝",中国铝业郑州院沁阳铝电解试验厂,http://cxxq92002.alu.cn/supply.html
青岛经济技术开发区九华山路31号2-26室,86-0532-89218138,86-0532-84601242,http://qdlqjsmyyxgs.cn.alibaba.com,,青岛梫明金属贸易有限公司,http://qdlqjsmyyxgs.alu.cn/supply.html
江苏省张家港市后塍新塍工业园,86-0512-56930551-,86-0512-56930557-,http://xckjacp.alu.cn,"A2级防火铝复合板,铝塑板生产设备",江苏协诚科技发展有限公司,http://xckjacp.alu.cn/supply.html
河南省南阳市西峡县城工业园大道北段66号,86-0377-69872555-,86-0377-69872555-,http：//www.cnxljt.com,"彩涂板,彩涂卷,镀锌板,镀锌卷",西峡鑫龙钢业有限公司,http://jacksonyuan3.alu.cn/supply.html
广东省东莞市长安镇厦边银城一路112号,86-0769-81504761,86-0769-81504011,www.jingjietw.com,"台湾齿条,进口齿条,自耦变压器,行星减速机,研磨齿条,YYC齿条,全自动稳压器,PHT行星减速机",精杰机电（东莞）有限公司,http://jingjietw.alu.cn/supply.html
深圳市宝安区福永镇新田村新塘路一号,86-0755-27312225,86-0755-27313229,http://www.jinyinfen.net,"铝银粉,铝银浆,特细铝银粉,亮白铝银粉,进口铝银粉,仿电镀铝银浆,闪光铝银浆,细白铝银浆",深圳市庄彩铝颜料有限公司,http://hushuian.alu.cn/supply.html
深圳市观兰镇新田村牛轭岭街36号,86-0755-29836420,,www.szyouchuang.com,"铝压铸件,不锈钢件,铝合金外壳,铝制饰壳,不锈钢饰壳,数码相机配件,LCD屏蔽罩网罩,数控车床加工件",深圳市友创五金塑胶有限公司,http://xiangjiahua.alu.cn/supply.html
东莞市长安工业区,86-0769-81606889-,86-0769-85079220-,市长安工业区,http://jxhjzpgs.cn.alibaba.com,"进口钨钢,硬质合金圆棒,钨铜合金、,车刀,银钨,铍青铜合金,进口不锈钢,进口弹簧钢","更多",http://jxgsclx.alu.cn/supply.html
北京海淀牡丹园地铁D口花园路13号,86-0135-81584194-,86---,www.sincotec.com,"高频共振疲劳,疲劳试验机,高频试验机,试验机",德国新科泰克科技有限公司,http://sincotec.alu.cn/supply.html
番禺区大石迎宾路634号,86-020-33722324-|86,86-020-22631881-,http://www.daguanglvye.com,"广州铝天花,广州天花板,大广铝业,欧佰天花,欧陆天花,奥斯美天花,铝幕墙,铝单板",广州市大广铝业装饰材料有限公司,http://ubuyyong.alu.cn/supply.html
巩义市涉村工业园区,86-0371-53762187,86-0371-64386630,http://www.gyjyjh.com,"纤维球,改性纤维球,海绵铁滤料,果壳活性炭,鹅卵石,石英砂滤料 ,无烟煤滤料 ,锰砂滤料"," 巩义市继元净化材料有限公司",http://gyjyjh66.alu.cn/supply.html
深圳市、宝安区、福永工业大道、合盛铝业,86-0755-84717278-|86-0755-27342358-,86-0755-27342358-,http://hu530524886.cn.alibaba.com/,LED边框+LED铝边框+LED铝型材+LED外框+LED铝材+LED包边+LED边条+LED铝材料,合盛铝业有限公司,http://xddfl.alu.cn/supply.html
上海宝山电台路398弄6-201,86-021-56183166,86-021-56183199,http://www.yhok.cn/,汽车打码机+气动打码机+金属打码机+铭牌打码机+手持式打码机+多功能打码机+便携式打码机+旋转打码机,上海众宏电子科技有限公司,http://zhonghong520.alu.cn/supply.html
河北省盐山县城西工业区8号,86-0317-8511119,86-0317-6218886,http://www.ysxgtgj.com/,"铝弯头,铝三通,铝四通,铝管帽,铝异径管,铝大小头,铝法兰,铝封头",盐山县国涛管件有限公司五部,http://guotao1798.alu.cn/supply.html
济南市将军路石门,86-531-82378188-,86---,www.jnyuefeng.com,"铝合金门窗加工设备,塑钢门窗加工设备,幕墙加工设备,中空玻璃设备",济南岳峰机械有限公司,http://hiliarylv.alu.cn/supply.html
青岛胶南市铁山街道办,86-0532-86150377-,---,http://www.ganawa.com,"滤筒除尘器,布袋除尘器,旋风除尘器,滤筒,组合式除尘器,脉冲除尘器",青岛嘉年华环保设备有限公司,http://qdganawa.alu.cn/supply.html
胜利庄,86-0531-87112665,,www.jnhongda.com,"断桥铝门窗,济南阳光房,济南塑钢门窗,济南封阳台,济南铝包木,济南隐形纱窗,济南铝合金门窗,济南阳光板房",山东鸿达门窗有限公司,http://shandonghongdamechan.alu.cn/supply.html
上海市松江区梅家浜路309号5幢,86-021-37004206-,86-021-37004209-,http://store.taobao.com/shop/view_shop.htm?mytmenu=mdianpu,,上海襄达工业铝型材有限公司,http://xdsales.alu.cn/supply.html
广东省佛山市南海区大沥桂江公路东侧桥底,86-757-85550398-,86-757-85555688-,www.ytalu.com,"箱包铝材,门窗铝材,自行车铝材,地板铝材,工业用材,异形材,散热器铝材,家具铝材",亚泰铝材有限公司,http://yataialuminum.alu.cn/supply.html
武汉市汉口火车站旁（财神商业广场）6楼A11室,86-027-85583390-,86-027-85583390-,www.whhtzl.com,冷库安装+冷水机+压缩机+冷库设备+冷库维修+制冷设备,武汉华田丹雪制冷设备有限公司,http://whhtdxzl.alu.cn/supply.html
保安区沙井田园,86-0755-36971283-,86-0755-33513830-,,LED铝基板,深圳市世纪超普有限公司,http://anbga.alu.cn/supply.html
深圳市龙岗区龙岗街道南约社区联和工业区A区28栋,86-0755-89934159-808,86-0755-33838939-,www.chuanbeng.com,"工业冷水机,螺杆式冷水机组,激光冷水机,PCB冷水机,低温冷水机,空调机,恒温恒湿机,模温机",深圳市川本制冷斯特制冷设备有限公司,http://chuanben2012.alu.cn/supply.html
广东省佛山市南海区大沥桂江路段广佛新干线桥底（回味鸡左侧）,86-0757-85552003-|86-0757-81188739-,86---,http://www.fsjiyuan.cn,"合金铝板,进口铝板,铝棒,铝合金板,美铝,铝板,7075,6061",佛山市南海区大沥吉源五金装饰材料商行,http://fsjiyuan.alu.cn/supply.html
上海市松江区石湖荡镇闵踏路558弄4号137室,86-021-26355959-,86-021-33250232-,,铜,上海瀛实贸易有限公司,http://yingshimy.alu.cn/supply.html
广州市番禺区大石迎宾路634号,86-020-33722324-,86-020-22631881-,www.daguanglvye.com,"铝扣板,铝幕墙,铝格栅,铝挂片,铝扣板,铝单板,集成吊顶,铝金属吊顶",广东大广铝业装饰材料有限公司,http://yyck244.alu.cn/supply.html
内蒙古呼和浩特,86-0471-5270964-,86-0471-2330011-,http://www.gttzjt.com,"断桥,幕墙,铝合金,铝棒",内蒙古光太铝业有限公司,http://jackliu.alu.cn/supply.html
深圳市宝安区石岩镇汽车站对面,86-0755-27767158-,86-0755-27355516-,szjfzd.cn.clibaba.com,"铝箔连续分条机刀片,锂电池极片分切刀,供应纵剪机分条刀【质优价惠】,折弯机模具,镶钨钢剪刀,剪板机刀片,合金异形工业刀片,美工刀片",深圳凯德利精密刀具有限公司,http://szkdljm.alu.cn/supply.html
鞍山市铁东区钢城街15栋,86-0412-6381158,86-0412-6381157,市铁东区钢城街15栋,http://www.dexin-mechanical.com/,"打标机,电腐蚀打标机,打标机耗材,打标头,打标模板,标记水","更多",http://astjkj.alu.cn/supply.html
汕头龙湖区绿园大厦20楼2010,86-0754-88162686-,86-0754-88163358-,,"冷水机,冷却塔,干燥机,破粹机",纳金机械汕头办事处,http://stnjjx.alu.cn/supply.html
"广州 诺彩数码产品有限公司",86-020-61088531,86-020-87215622,www.zhangliming.com,,广州诺彩印花设备有限公司,http://lili198991317.alu.cn/supply.html
深圳市龙岗坪山南布社区,86-0755-84637861-601,86-0755-84637863-,,"铝制品冲裁切机,压铸毛坯修边机,热压成型机,大小型气动冲床,铆合校正压装机,多工位液压冲床",深圳市多美达化工科技有限公司,http://xiao026.alu.cn/supply.html
佛山南海大沥,86-0757-81086801,86-0757-89914002,www.al7075.com,,佛山市万钧金属有限公司(销售部）,http://y2359059927.alu.cn/supply.html
沈阳经济技术开发区浑河十四街四号,86-024-25797202-,86-024-25797203-,,"铝棒,铝管,铝排,滑道,黄铜棒,青铜棒,黄铜管,青铜套",沈阳市天泰有色金属材料有限公司,http://caoxiujuan.alu.cn/supply.html
马鞍山市博望新区,86-0555-6776229-,86-0555-6776229-,,"剪板机,折弯机,共板法兰机,风管生产线,手动折边机,五线压筋机,咬口机,卷板机",马鞍山中驰机械制造有限公司,http://zhongchijixie.alu.cn/supply.html
宁波市鄞州区高桥镇秀丰村幸福路368号模具市场,86-574-87505669-,86-574-87502813-,www.nbboning.com,"弯管机,切管机,缩管机,滚圆机,造齿机,管端成型机,管类加工",宁波市鄞州区博宁机械制造有限公司,http://zjboning.alu.cn/supply.html
广东省佛山市南海区官窑镇桂和路段佛山一环桥底下50米,86-757-85890928-,86-757-85890908-,http://www.gdcalm.com/,"PBO毛毡滚筒,高/中/低温毛毡滚筒,高/中/低温无缝传送带,时效炉护套,毛毡条",佛山市卡玛工业高温毡有限公司,http://kevinjm.alu.cn/supply.html
商丘夏邑,86-0370-6442968-,86---,www.jianyegroup.com,"耐高温硅酸钙,陶瓷纤维板,陶瓷堵套,陶瓷纤维垫圈,石棉板,陶瓷垫片,陶瓷垫圈",商丘市建业保温材料有限公司,http://jianyegroup.alu.cn/supply.html
深圳市坂田街道岗头亚洲工业园十栋、十五栋、九栋,86-0755-89747775-807,86-0755-89747776-,http:www.finialchina.com,"平开门窗、推拉门窗,折叠门系列、,推拉门窗,各式纱门窗,隐形幕墙,铝包木系列,电动百叶,阳光房、",鸿泰门窗有限公司,http://hhtt.alu.cn/supply.html
上海市普陀区真北路3562号3楼G3023室,86-021-36330833-,86-0533-2941289-,http://xinzi.alu.cn,"氧化铝,氢氧化铝,化学品氧化铝,白刚玉,铝合金棒,铝合金锭,铝锭,铜",上海鑫紫金属材料有限公司,http://xinzi.alu.cn/supply.html
山西省永济市循环工业园区8号,86-0359-8293288-,86-0359-8293688-,http://sxhfly.alu.cn/,"电泳喷涂,粉末喷涂,木纹转印,幕墙,工业型材,隔热断桥",山西海丰铝业有限责任公司,http://sxhflyg.alu.cn/supply.html
江苏扬州市开发西路201,86-0514-80821978-,86-0514-87846712-,www.yzjinfeng.com,"铝箔,铝箔印刷,药用铝箔",扬州金丰新材料,http://shihanjiang.alu.cn/supply.html
浙江玉环汽摩园区方博机械有限公司,86-0576-81758286-,86-0576-88327460-,www.fangbocn.com,"中小型液压机,小型液压机,液压旋铆机,单柱液压机,四柱液压机,气动压力机,多工位液压机,油压机",玉环方博机械有限公司,http://fangbochenkuan.alu.cn/supply.html
上海市松江区泗泾镇方泗路88号2幢1号,86-021-57626225-,86-021-57656552-,www.aposky.com,"工业铝型材,自动化型材,流水线型材,设备铝型材支架,铝型材面板组装定做,工作台定做,铝型材框架,铝型材焊接、表面处理",上海柯宾铝业有限公司,http://lifajing.alu.cn/supply.html
佛山市南海区里水镇西线公路北沙鹿眠村路段,86-0757-85578946-,86-0757-85657660-,,"高隔间,高隔断,高隔墙,高屏风,玻璃隔断,办公隔断,办公高间隔,高隔间型材及成品",佛山永锵铝质装饰工程有限公司,http://zmggj.alu.cn/supply.html
广东佛山南海区广东省佛山市南海区大沥中建博美49,86-0757-81829235-,86-0757-81829236-,www.xin10000.com,"超薄灯箱型材,水晶灯箱,旋转灯箱,滚动灯箱,吸塑灯箱,LED灯箱,EEFL灯箱,点餐灯箱",佛山市鑫之景灯箱器材有限公司,http://lixiaogao.alu.cn/supply.html
广东省东莞市樟木头镇樟罗塘吓埔,86-0769-87796293,86-0769-87186493,http://www.mzlzy.com,,东莞市铭众机电设备有限公司,http://mingzhong1.alu.cn/supply.html
上海市松江钢材城28号,86-400-6992285-,86-021-37773001-,www.lglg188.com,"铝合金系列,不锈钢系列,特殊铝合金,特殊钢系列,优特钢系列,合金钢系列,模具钢系列,铜合金系列",上海亮高实业有限公司,http://soso.alu.cn/supply.html
河南省洛阳市涧西区南昌路十五街坊滨河印象2幢2-2101室,86-0379-13916926-131,86-0379-65263258-,省洛阳市涧西区南昌路十五街坊滨河印象2幢2-2101室,www.mgfilterpaper.com,"过滤材料,铝加工过滤纸,轴承磨床滤纸,轧制油冷却液,化工液油漆滤,食品煎炸油滤,乳化液滤纸,纤维素磷化液","更多",http://mg6706.alu.cn/supply.html
东莞市厚街白濠管理区,86-0769-89863125-,86-0769-89863125-,www.dgtnpsj.com,"抛丸机,喷砂机,磨料,吸尘机,喷砂机配件",东莞楚禾五金机械厂,http://tang05070524.alu.cn/supply.html
深圳市坪山新区坑梓镇新乔围工业园,86-0755-84122284-136,86-0755-84118280-,,"徽章,奖牌,钥匙扣,纪念章,胸针,胸章,标牌,酒标",深圳伟辰工艺制品有限公司,http://szweichen2012.alu.cn/supply.html
江苏省苏州市吴中区溪山路7号,86-0512-67074969-810,86-0512-82175884-,www.gaopin17.cn,"检测设备,检测仪器,试验机,试验箱,实验台,试验台,实验仪器,试验设备",苏州市高品检测仪器有限公司,http://gaopin28.alu.cn/supply.html
北京市大兴区黄村金星路,86-010-60240254-,86-010-60240252-,http://htkjled.cn.gongchang.com/,"LED显示屏边框,显示屏铝型材,铝型材边框,电子灯箱,显示屏外框,显示屏电源",北京浩天盛博科技发展有限公司（销售部）,http://alhsk.alu.cn/supply.html
郑州市管城回族区南曹乡金德李135号,86-0371-86220373-,86-0371-86220373-,www.jinglongjj.com,办公高隔间+办公高隔断+高隔间+高隔断+高隔铝型材+铝百叶,郑州景龙家具有限公司,http://jinglongjiaju.alu.cn/supply.html
江苏省宝应县曹甸镇工业集中区,86-0514-88625888-,86-0514-88626208-,www.yzxrly.com,"合金铝锭,合金铝棒,燃烧器,浇压铸件",江苏鑫润铝业集团有限公司,http://xinrunlvye.alu.cn/supply.html
重庆市沙坪坝区青凤工业园,86-023-65600481-,86---,,"碳化硅石墨坩埚,除气装置,中央熔炉用堵套,压铸机用易损件,优质脱模剂,热电偶保护套",重庆协铸贸易有限公司,http://cqxz.alu.cn/supply.html
林城工业区,86-0572-6870686-,0572-6087689--,http://www.cx-fd.com,立式淬火炉，时效炉，熔铝炉，保温炉，网带炉，回火炉，烧结炉，真空炉，箱式炉。,长兴县丰东电炉制造厂,http://cxfddl.alu.cn/supply.html
河北安平徐张屯开发区,86-1513-2821110,86-0318-7610668,http://www.baowenwanggebu.com,"网格布,耐碱网格布,玻纤网格布,外墙保温网格布,玻璃纤维网格布,大眼网格布,烟道网格布,增强网格布",河北安平致远玻纤网格布厂,http://tdwanggebu.alu.cn/supply.html
郑州市航空港区台商投资工业园区,86-1509-3350738-,86---,郑州市航空港区台商投资工业园区,"方板天花,挂片天花,格栅天花,条形扣板,方通天花,LED系列天花,復式吊頂,深井天花",郑州珈铖装饰材料有限公司,http://a377760381.alu.cn/supply.html
江苏省常熟市古里镇白茆工业园,86-0512-52530747-,86-0512-52530747-,http：//www.szzcbxf.com,变形缝+伸缩缝+建筑变形缝+建筑伸缩缝+防尘地毯+踢脚线+防滑条,常熟市古里镇白茆至诚变形缝装置厂,http://szzcbxf.alu.cn/supply.html
花桥镇花溪路168号,86-0512-86898925-,86-0512-50163231-,www.ykpack.cn,"打包机,打包带,缠绕膜,包装耗材",昆山雅凯包装设备有限公司,http://ksyk006.alu.cn/supply.html
东莞长安上沙工业区,86-0769-89280593-,86-0769-81605953-,http://www.dgzmwj2010.cn.alibaba.com,"铝合金,铜合金,不锈钢,弹簧钢,易切削钢,模具钢,工具钢",正铭模具钢材金属有限公司,http://bhuliu456.alu.cn/supply.html
东莞市谢岗镇谢常路双圳工业区,86-0769-87682484-,86-0769-87636382-,,"腹铝箔珍珠棉袋,印刷珍珠棉袋,铝膜珍珠棉袋,冰皮月饼包装袋,无蜡珍珠棉袋,防静电珍珠棉袋,导电膜气泡袋,epp泡沫",东莞市昌平包装材料有限公司,http://cppack.alu.cn/supply.html
辽宁省抚顺市抚顺县海浪乡天成环保产业园,86-024-23805956-,86-024-23805956-,www.lntshb.com,"滤袋,骨架,针刺毡,袋笼",辽宁天舜环保工程有限公司,http://lntshb.alu.cn/supply.html
